,date,mean
206,2017-05-19,431.1875
207,2017-05-18,426.25
208,2017-05-17,425.9375
209,2017-05-16,423.4375
210,2017-05-15,426.8125
211,2017-05-12,434.0
212,2017-05-11,432.53
213,2017-05-10,430.75
214,2017-05-09,431.6875
215,2017-05-08,437.3125
216,2017-05-05,440.5
217,2017-05-04,446.0
218,2017-05-03,451.9375
219,2017-05-02,455.4375
220,2017-05-01,448.22
221,2017-04-28,432.125
222,2017-04-27,429.0625
223,2017-04-26,428.0
224,2017-04-25,422.9375
225,2017-04-24,421.5625
226,2017-04-21,404.9375
227,2017-04-20,413.4675
228,2017-04-19,421.0
229,2017-04-18,421.8125
230,2017-04-17,425.6875
231,2017-04-13,431.9375
232,2017-04-12,433.72
233,2017-04-11,430.28
234,2017-04-10,426.0
235,2017-04-07,422.8425
236,2017-04-06,426.25
237,2017-04-05,428.1875
238,2017-04-04,427.9375
239,2017-04-03,430.625
240,2017-03-31,424.0
241,2017-03-30,422.9375
242,2017-03-29,425.0
243,2017-03-28,422.6875
244,2017-03-27,422.75
245,2017-03-24,423.25
246,2017-03-23,422.0
247,2017-03-22,424.6225
248,2017-03-21,427.625
249,2017-03-20,435.7175
250,2017-03-17,435.7175
251,2017-03-16,437.1875
252,2017-03-15,433.75
253,2017-03-14,431.375
254,2017-03-13,435.75
255,2017-03-10,442.5325
256,2017-03-09,446.1875
257,2017-03-08,451.875
258,2017-03-07,456.8125
259,2017-03-06,458.625
260,2017-03-03,452.25
261,2017-03-02,455.155
262,2017-03-01,450.0
263,2017-02-28,444.5325
264,2017-02-27,443.0625
265,2017-02-24,435.0325
266,2017-02-23,439.8425
267,2017-02-22,439.3125
268,2017-02-21,438.0
269,2017-02-17,443.8425
270,2017-02-16,453.4375
271,2017-02-15,451.4375
272,2017-02-14,449.78
273,2017-02-13,450.0
274,2017-02-10,446.125
275,2017-02-09,436.9375
276,2017-02-08,430.9375
277,2017-02-07,425.75
278,2017-02-06,426.9375
279,2017-02-03,432.845
280,2017-02-02,433.9375
281,2017-02-01,426.0
282,2017-01-31,417.6875
283,2017-01-30,415.9675
